order_purchase_timestamp,total_sales,total_items,total_orders,day_of_week,month,quarter,is_weekend,is_holiday,total_sales_lag_1,total_sales_lag_7,total_sales_lag_14,total_sales_lag_30,total_sales_rolling_avg_7,total_sales_rolling_std_7,total_sales_rolling_avg_30,total_sales_rolling_std_30
2017-09-22,15755.12,152,135,4,9,3,0,0,19015.53,18208.27,11573.57,15873.61,20872.00142857143,3886.5325696496507,21014.122333333336,5890.563110680353
2017-09-23,10302.51,98,84,5,9,3,1,0,15755.12,20705.63,15082.53,13361.11,19385.841428571428,5580.570181096872,20912.168999999998,6051.849206153127
2017-09-24,12920.75,123,112,6,9,3,1,0,10302.51,19979.42,17708.37,15068.65,18377.46,6071.570653433371,20840.57233333333,6135.492466692403
2017-09-25,17897.6,153,132,0,9,3,0,0,12920.75,28487.81,23326.79,10141.69,16864.572857142855,4146.748066170711,21099.10266666667,5824.661101377154
2017-09-26,21681.9,196,179,1,9,3,0,0,17897.6,20057.95,27006.02,13367.88,17096.565714285716,4393.2781149192715,21376.236666666668,5638.957419602057
2017-09-27,20646.92,174,144,2,9,3,0,0,21681.9,22102.55,27333.38,22062.52,16888.61857142857,4144.228885970748,21329.05,5638.939442850142
2017-09-28,23264.52,165,142,3,9,3,0,0,20646.92,19015.53,22557.76,33756.48,17495.617142857143,4771.391032283686,20979.318000000003,5145.360001228696
2017-09-29,30878.56,135,116,4,9,3,0,0,23264.52,15755.12,18208.27,30856.17,19656.108571428573,6831.261486974002,20980.064333333332,5146.843447634668
2017-09-30,12685.49,120,109,5,9,3,1,0,30878.56,10302.51,20705.63,20671.51,19996.534285714286,6328.313234777643,20713.863666666668,5365.241905739192
2017-10-01,18431.37,142,126,6,10,4,1,0,12685.49,12920.75,19979.42,28419.14,20783.765714285713,5602.531765686697,20380.938000000002,5177.2117029092715
2017-10-02,21764.65,166,142,0,10,4,0,0,18431.37,17897.6,28487.81,18128.66,21336.20142857143,5459.3353996600035,20502.137666666666,5165.212988962756
2017-10-03,26118.57,218,198,1,10,4,0,0,21764.65,21681.9,20057.95,27741.42,21970.011428571426,5755.657997047846,20448.042666666668,5094.800076621692
2017-10-04,21197.7,171,157,2,10,4,0,0,26118.57,20646.92,22102.55,24937.98,22048.69428571429,5738.294620996884,20323.366666666665,5026.443084989306
2017-10-05,25230.42,170,139,3,10,4,0,0,21197.7,23264.52,19015.53,20981.55,22329.53714285714,5854.644713455321,20464.995666666666,5104.875885617246
2017-10-06,17024.77,153,125,4,10,4,0,0,25230.42,30878.56,15755.12,25134.71,20350.424285714285,4713.4159064591195,20194.664333333334,5063.627996796631
